support,itemsets
0.14311926605504588,frozenset({'Accessories'})
0.09031600407747196,frozenset({'Appliances'})
0.14678899082568808,frozenset({'Art'})
0.2632008154943935,frozenset({'Binders'})
0.04525993883792049,frozenset({'Bookcases'})
0.11498470948012232,frozenset({'Chairs'})
0.01345565749235474,frozenset({'Copiers'})
0.04954128440366973,frozenset({'Envelopes'})
0.043221202854230374,frozenset({'Fasteners'})
0.1743119266055046,frozenset({'Furnishings'})
0.06931702344546381,frozenset({'Labels'})
0.022833843017329256,frozenset({'Machines'})
0.23710499490316003,frozenset({'Paper'})
0.163710499490316,frozenset({'Phones'})
0.15575942915392457,frozenset({'Storage'})
0.03690112130479103,frozenset({'Supplies'})
0.061569826707441384,frozenset({'Tables'})
0.012232415902140673,"frozenset({'Accessories', 'Appliances'})"
0.018144750254842,"frozenset({'Accessories', 'Art'})"
0.0326197757390418,"frozenset({'Binders', 'Accessories'})"
0.005912334352701326,"frozenset({'Bookcases', 'Accessories'})"
0.012640163098878695,"frozenset({'Accessories', 'Chairs'})"
0.006523955147808359,"frozenset({'Envelopes', 'Accessories'})"
0.005300713557594291,"frozenset({'Fasteners', 'Accessories'})"
0.022629969418960245,"frozenset({'Accessories', 'Furnishings'})"
0.009582059123343527,"frozenset({'Labels', 'Accessories'})"
0.004485219164118246,"frozenset({'Machines', 'Accessories'})"
0.03058103975535168,"frozenset({'Paper', 'Accessories'})"
0.023241590214067277,"frozenset({'Accessories', 'Phones'})"
0.020795107033639144,"frozenset({'Accessories', 'Storage'})"
0.0050968399592252805,"frozenset({'Accessories', 'Supplies'})"
0.008970438328236493,"frozenset({'Tables', 'Accessories'})"
0.012028542303771662,"frozenset({'Art', 'Appliances'})"
0.026299694189602447,"frozenset({'Binders', 'Appliances'})"
0.009174311926605505,"frozenset({'Chairs', 'Appliances'})"
0.004281345565749235,"frozenset({'Envelopes', 'Appliances'})"
0.004485219164118246,"frozenset({'Fasteners', 'Appliances'})"
0.0163098878695209,"frozenset({'Appliances', 'Furnishings'})"
0.004281345565749235,"frozenset({'Labels', 'Appliances'})"
0.022629969418960245,"frozenset({'Paper', 'Appliances'})"
0.015494393476044852,"frozenset({'Phones', 'Appliances'})"
0.011213047910295617,"frozenset({'Storage', 'Appliances'})"
0.004892966360856269,"frozenset({'Appliances', 'Supplies'})"
0.0061162079510703364,"frozenset({'Tables', 'Appliances'})"
0.02996941896024465,"frozenset({'Binders', 'Art'})"
0.0069317023445463815,"frozenset({'Bookcases', 'Art'})"
0.01651376146788991,"frozenset({'Art', 'Chairs'})"
0.005504587155963303,"frozenset({'Envelopes', 'Art'})"
0.005912334352701326,"frozenset({'Fasteners', 'Art'})"
0.0199796126401631,"frozenset({'Art', 'Furnishings'})"
0.009174311926605505,"frozenset({'Labels', 'Art'})"
0.029561671763506627,"frozenset({'Paper', 'Art'})"
0.024872579001019367,"frozenset({'Art', 'Phones'})"
0.0199796126401631,"frozenset({'Art', 'Storage'})"
0.005708460754332314,"frozenset({'Art', 'Supplies'})"
0.007747196738022426,"frozenset({'Tables', 'Art'})"
0.011213047910295617,"frozenset({'Binders', 'Bookcases'})"
0.023445463812436288,"frozenset({'Binders', 'Chairs'})"
0.003873598369011213,"frozenset({'Binders', 'Copiers'})"
0.011009174311926606,"frozenset({'Envelopes', 'Binders'})"
0.012436289500509684,"frozenset({'Fasteners', 'Binders'})"
0.03873598369011213,"frozenset({'Binders', 'Furnishings'})"
0.01651376146788991,"frozenset({'Labels', 'Binders'})"
0.0061162079510703364,"frozenset({'Binders', 'Machines'})"
0.054841997961264016,"frozenset({'Paper', 'Binders'})"
0.0399592252803262,"frozenset({'Binders', 'Phones'})"
0.0399592252803262,"frozenset({'Binders', 'Storage'})"
0.008766564729867482,"frozenset({'Binders', 'Supplies'})"
0.014475025484199796,"frozenset({'Tables', 'Binders'})"
0.004281345565749235,"frozenset({'Bookcases', 'Chairs'})"
0.0061162079510703364,"frozenset({'Bookcases', 'Furnishings'})"
0.004281345565749235,"frozenset({'Labels', 'Bookcases'})"
0.009378185524974516,"frozenset({'Paper', 'Bookcases'})"
0.00856269113149847,"frozenset({'Bookcases', 'Phones'})"
0.007543323139653415,"frozenset({'Bookcases', 'Storage'})"
0.0061162079510703364,"frozenset({'Envelopes', 'Chairs'})"
0.005300713557594291,"frozenset({'Fasteners', 'Chairs'})"
0.019775739041794086,"frozenset({'Chairs', 'Furnishings'})"
0.0069317023445463815,"frozenset({'Labels', 'Chairs'})"
